,upper_mean,Balanced_acc,F2_score,AUC,Recall,Precision
61,2.853383716,0.903958755,0.733700185,0.969149469,0.862038931,0.460157697
29,3.422191327,0.902314335,0.700606727,0.969149469,0.879292585,0.386973422
36,3.142923167,0.903037779,0.716173481,0.969149469,0.870665758,0.419412652
54,2.869842021,0.903695391,0.732478386,0.969149469,0.862038931,0.45782305
57,2.868072144,0.903695391,0.732478386,0.969149469,0.862038931,0.45782305
28,3.505243266,0.90173441,0.694763484,0.969149469,0.881754147,0.376395391
43,2.874359539,0.903629548,0.732170832,0.969149469,0.862038931,0.45719327
56,2.875811649,0.903629548,0.732170832,0.969149469,0.862038931,0.45719327
25,3.545882152,0.90152872,0.692267993,0.969149469,0.882988715,0.371879434
27,3.55043794,0.90142996,0.691864109,0.969149469,0.882988715,0.371264401
26,3.525916555,0.90143812,0.693552368,0.969149469,0.881754147,0.37463512
65,2.816512064,0.903254669,0.734376478,0.969149469,0.859577369,0.464340156
62,2.81930788,0.903221742,0.73421942,0.969149469,0.859577369,0.464017206
60,2.822222066,0.903155909,0.733912151,0.969149469,0.859577369,0.463430312
69,2.825463563,0.903155909,0.733912151,0.969149469,0.859577369,0.463430312
84,2.762828582,0.902682324,0.735669837,0.969149469,0.857115807,0.469830782
89,2.675273882,0.902801289,0.740262685,0.969149469,0.854654245,0.482365909
66,2.776629463,0.902616481,0.735355822,0.969149469,0.857115807,0.469188224
71,2.771507261,0.902616481,0.735355822,0.969149469,0.857115807,0.469188224
92,2.64306205,0.902747403,0.742029162,0.969149469,0.853427251,0.487705782
94,2.641338863,0.902747403,0.742029162,0.969149469,0.853427251,0.487705782
64,2.78833361,0.902386022,0.734261963,0.969149469,0.857115807,0.466986479
87,2.652231492,0.902615738,0.741393132,0.969149469,0.853427251,0.486387509
73,2.790089134,0.902353106,0.734110032,0.969149469,0.857115807,0.466694376
81,2.694403406,0.902504998,0.73884104,0.969149469,0.854654245,0.479405115
74,2.794689708,0.90232019,0.733958419,0.969149469,0.857115807,0.466404158
59,2.797353043,0.902287262,0.733801131,0.969149469,0.857115807,0.466089533
82,2.696317394,0.902439165,0.738528486,0.969149469,0.854654245,0.47877657
85,2.70050258,0.902373322,0.738215154,0.969149469,0.854654245,0.478122816
90,2.658566773,0.902418217,0.74044192,0.969149469,0.853427251,0.484388077
88,2.70407532,0.902307478,0.737897124,0.969149469,0.854654245,0.477469743
68,2.758514277,0.902068827,0.734763486,0.969149469,0.855888813,0.469472672
86,2.626939328,0.902261806,0.741737212,0.969149469,0.852192683,0.488696247
80,2.713466401,0.902109947,0.736956979,0.969149469,0.854654245,0.475475847
72,2.721651686,0.90207702,0.736797357,0.969149469,0.854654245,0.475146088
78,2.723253881,0.90207702,0.736797357,0.969149469,0.854654245,0.475146088
79,2.722968993,0.90207702,0.736797357,0.969149469,0.854654245,0.475146088
3,5.638533319,0.878505177,0.548262682,0.969149469,0.96059229,0.20211401
75,2.733467979,0.901945343,0.73617518,0.969149469,0.854654245,0.473851303
76,2.734297234,0.901945343,0.73617518,0.969149469,0.854654245,0.473851303
77,2.725799992,0.901945343,0.73617518,0.969149469,0.854654245,0.473851303
83,2.72630752,0.901945343,0.73617518,0.969149469,0.854654245,0.473851303
70,2.74689122,0.901813667,0.735556265,0.969149469,0.854654245,0.47262427
98,2.612305614,0.901878789,0.741943928,0.969149469,0.85096569,0.490826024
67,2.753181604,0.901649053,0.734771375,0.969149469,0.854654245,0.470991668
95,2.615772818,0.901812935,0.741623694,0.969149469,0.85096569,0.49009073
93,2.620620448,0.901780008,0.741464095,0.969149469,0.85096569,0.489727094
97,2.607015576,0.901265292,0.741038602,0.969149469,0.849738696,0.490475147
91,2.586887306,0.900812623,0.740932987,0.969149469,0.848504128,0.491889448
96,2.598271061,0.900713863,0.740449535,0.969149469,0.848504128,0.490860804
99,2.590605879,0.900713863,0.740449535,0.969149469,0.848504128,0.490860804
100,2.533879027,0.899141185,0.741064505,0.969149469,0.843581004,0.499062318
2,6.083300797,0.866325299,0.516313162,0.969149469,0.969219117,0.180186541
101,2.509643736,0.897691947,0.74019728,0.969149469,0.839892449,0.502350397
103,2.439389739,0.897667234,0.742181999,0.969149469,0.838657881,0.508733191
102,2.466962799,0.897436797,0.741054452,0.969149469,0.838657881,0.506102216
119,2.296284229,0.896066034,0.744833031,0.969149469,0.832492615,0.524657148
107,2.306192674,0.895967274,0.744336017,0.969149469,0.832492615,0.52347686
112,2.301733843,0.895967274,0.744336017,0.969149469,0.832492615,0.52347686
106,2.311063405,0.895934347,0.744169794,0.969149469,0.832492615,0.523024525
108,2.314312554,0.89590143,0.744013177,0.969149469,0.832492615,0.522626131
109,2.31598014,0.89590143,0.744013177,0.969149469,0.832492615,0.522626131
104,2.379998422,0.89556403,0.740221902,0.969149469,0.833727183,0.511484255
105,2.339150318,0.89550639,0.742049366,0.969149469,0.832492615,0.517777697
126,2.225647986,0.89482253,0.747222729,0.969149469,0.827569492,0.538584359
124,2.261139129,0.894613031,0.744030492,0.969149469,0.828796486,0.528424441
113,2.268713248,0.894580103,0.743861616,0.969149469,0.828796486,0.528005417
117,2.264706922,0.894580103,0.743861616,0.969149469,0.828796486,0.528005417
122,2.278717558,0.89451426,0.743526174,0.969149469,0.828796486,0.527192247
114,2.236817562,0.894460396,0.745401881,0.969149469,0.827569492,0.533837637
110,2.241245261,0.894394563,0.745069682,0.969149469,0.827569492,0.533020626
129,2.242147632,0.894394563,0.745069682,0.969149469,0.827569492,0.533020626
111,2.24368203,0.894361647,0.744911312,0.969149469,0.827569492,0.532605972
115,2.214389085,0.894340742,0.746938627,0.969149469,0.826342498,0.540076204
121,2.214881836,0.894340742,0.746938627,0.969149469,0.826342498,0.540076204
116,2.218243441,0.894274888,0.746603077,0.969149469,0.826342498,0.539120098
118,2.250892264,0.894197065,0.74409109,0.969149469,0.827569492,0.530579409
123,2.208490334,0.893723458,0.745992764,0.969149469,0.82510793,0.539702905
125,2.191609253,0.893307492,0.746042604,0.969149469,0.823880936,0.541951806
127,2.19112576,0.893307492,0.746042604,0.969149469,0.823880936,0.541951806
128,2.191152018,0.893307492,0.746042604,0.969149469,0.823880936,0.541951806
130,2.143724231,0.893249874,0.747934944,0.969149469,0.822646368,0.549251713
131,2.200981888,0.893142889,0.745201443,0.969149469,0.823880936,0.539768256
120,2.205205363,0.893109961,0.745031165,0.969149469,0.823880936,0.539328745
133,2.129350399,0.892800959,0.747788474,0.969149469,0.821419374,0.551056987
134,2.082010861,0.891578392,0.748112368,0.969149469,0.817723245,0.558660737
149,2.022799283,0.891557488,0.750236845,0.969149469,0.816496251,0.566881133
139,2.087555202,0.891512548,0.747776106,0.969149469,0.817723245,0.557680123
138,2.089737396,0.891479621,0.747601995,0.969149469,0.817723245,0.557203459
141,2.026385094,0.891491644,0.749899949,0.969149469,0.816496251,0.565915923
132,2.09318483,0.891413767,0.74726036,0.969149469,0.817723245,0.556218813
135,2.093776502,0.891413767,0.74726036,0.969149469,0.817723245,0.556218813
140,2.033899668,0.891425811,0.749571466,0.969149469,0.816496251,0.564997113
145,2.037078762,0.891425811,0.749571466,0.969149469,0.816496251,0.564997113
146,2.035701878,0.891425811,0.749571466,0.969149469,0.816496251,0.564997113
148,2.029855193,0.891425811,0.749571466,0.969149469,0.816496251,0.564997113
